product_id,product_category_name,month_year,qty,unit_price,customers,product_score,comp_1,comp_2,comp_3,competitor_benchmark,price_variance,variance_pct,revenue,performance_class,price_flag
bed1,bed_bath_table,01-05-2017,1,45.95,57,4.0,89.9,215.0,45.95,116.94999999999999,-70.99999999999999,-60.70970500213766,45.95,Revenue Opportunity,Potentially Low
bed1,bed_bath_table,01-06-2017,3,45.95,61,4.0,89.9,209.0,45.95,114.94999999999999,-68.99999999999999,-60.026098303610254,137.85000000000002,Revenue Opportunity,Potentially Low
bed1,bed_bath_table,01-07-2017,6,45.95,123,4.0,89.9,205.0,45.95,113.61666666666666,-67.66666666666666,-59.55698987824556,275.70000000000005,Revenue Opportunity,Potentially Low
bed1,bed_bath_table,01-08-2017,4,45.95,90,4.0,89.9,199.5098039,45.95,111.78660130000002,-65.83660130000001,-58.89489485713526,183.8,Revenue Opportunity,Potentially Low
bed1,bed_bath_table,01-09-2017,2,45.95,54,4.0,89.9,163.3987097,45.95,99.7495699,-53.799569899999995,-53.934638469052686,91.9,Revenue Opportunity,Potentially Low
bed1,bed_bath_table,01-10-2017,3,45.95,50,4.0,89.9,45.95,45.95,60.6,-14.649999999999999,-24.174917491749174,137.85000000000002,Revenue Opportunity,Potentially Low
bed1,bed_bath_table,01-11-2017,11,40.53181818,97,4.0,89.9,40.53181818,40.53181818,56.98787878666667,-16.456060606666668,-28.876422420054798,445.84999998,Revenue Opportunity,Potentially Low
bed1,bed_bath_table,01-12-2017,6,39.99,41,4.0,88.48823529,39.99,39.99,56.15607843000001,-16.166078430000006,-28.787762397175648,239.94,Revenue Opportunity,Potentially Low
bed1,bed_bath_table,01-01-2018,19,39.99,62,4.0,86.9,39.99,39.99,55.62666666666667,-15.63666666666667,-28.11001917545542,759.8100000000001,Revenue Opportunity,Potentially Low
bed1,bed_bath_table,01-02-2018,18,39.99,62,4.0,86.9,39.99,39.99,55.62666666666667,-15.63666666666667,-28.11001917545542,719.82,Revenue Opportunity,Potentially Low
bed1,bed_bath_table,01-03-2018,17,39.99,43,4.0,86.9,39.99,39.99,55.62666666666667,-15.63666666666667,-28.11001917545542,679.83,Revenue Opportunity,Potentially Low
bed1,bed_bath_table,01-04-2018,13,39.99,34,4.0,85.045,39.99,39.99,55.00833333333333,-15.01833333333333,-27.301923950916525,519.87,Revenue Opportunity,Potentially Low
bed1,bed_bath_table,01-05-2018,19,39.99,57,4.0,83.64961538,39.99,39.99,54.54320512666667,-14.553205126666668,-26.681976412771302,759.8100000000001,Revenue Opportunity,Potentially Low
bed1,bed_bath_table,01-06-2018,5,39.99,43,4.0,79.9,39.99,39.99,53.293333333333344,-13.303333333333342,-24.962471853890428,199.95000000000002,Revenue Opportunity,Potentially Low
bed1,bed_bath_table,01-07-2018,8,39.99,26,4.0,77.93333333,39.99,39.99,52.63777777666667,-12.647777776666665,-24.02794781787537,319.92,Revenue Opportunity,Potentially Low
bed1,bed_bath_table,01-08-2018,8,39.24,15,4.0,74.0,39.24,39.24,50.826666666666675,-11.586666666666673,-22.79643231899266,313.92,Revenue Opportunity,Potentially Low
garden5,garden_tools,01-03-2017,6,69.9,21,4.1,69.9,69.9,69.9,69.9,0.0,0.0,419.40000000000003,Low Performer,Within Range
garden5,garden_tools,01-04-2017,3,82.63333333,17,4.1,82.63333333,82.63333333,82.63333333,82.63333333,0.0,0.0,247.89999999,Low Performer,Within Range
garden5,garden_tools,01-05-2017,20,97.58823529,34,4.1,59.9,59.9,97.58823529,72.46274509666667,25.125490193333334,34.673665978035274,1951.7647058,Low Performer,Potentially High
garden5,garden_tools,01-06-2017,8,89.0,26,4.1,59.9,59.9,89.0,69.60000000000001,19.39999999999999,27.87356321839079,712.0,Low Performer,Potentially High
garden5,garden_tools,01-07-2017,10,89.0,74,4.1,59.9,59.9,59.9,59.9,29.1,48.58096828046745,890.0,Low Performer,Potentially High
garden5,garden_tools,01-08-2017,7,97.33333333,113,4.1,59.9,59.9,59.9,59.9,37.43333333,62.49304395659433,681.3333333100001,Low Performer,Potentially High
garden5,garden_tools,01-09-2017,9,99.0,115,4.1,59.9,59.9,59.9,59.9,39.1,65.2754590984975,891.0,Low Performer,Potentially High
garden5,garden_tools,01-10-2017,14,99.0,146,4.1,59.9,59.9,59.9,59.9,39.1,65.2754590984975,1386.0,Low Performer,Potentially High
garden5,garden_tools,01-11-2017,17,99.0,339,4.1,52.40694444,53.64828125,53.78571429,53.28031332666666,45.71968667333334,85.8097181092416,1683.0,Low Performer,Potentially High
garden5,garden_tools,01-12-2017,11,99.0,184,4.1,55.1,55.425,55.75,55.425000000000004,43.574999999999996,78.61975642760486,1089.0,Low Performer,Potentially High
garden5,garden_tools,01-01-2018,4,99.5,137,4.1,49.9,49.9,49.9,49.9,49.6,99.39879759519039,398.0,Low Performer,Potentially High
garden5,garden_tools,01-02-2018,2,101.0,160,4.1,50.54516129,50.9,50.35714286,50.60076805,50.39923195,99.60171335778766,202.0,Low Performer,Potentially High
garden5,garden_tools,01-03-2018,1,101.0,116,4.1,53.9,53.9,53.9,53.9,47.1,87.38404452690168,101.0,Low Performer,Potentially High
garden5,garden_tools,01-04-2018,1,101.0,111,4.1,53.9,53.9,53.9,53.9,47.1,87.38404452690168,101.0,Low Performer,Potentially High
consoles1,consoles_games,01-07-2017,13,19.9,13,4.2,19.9,19.9,19.9,19.9,0.0,0.0,258.7,Low Performer,Within Range
consoles1,consoles_games,01-08-2017,24,19.9,33,4.2,19.9,19.9,19.9,19.9,0.0,0.0,477.59999999999997,Low Performer,Within Range
consoles1,consoles_games,01-09-2017,9,19.9,17,4.2,19.9,19.9,19.9,19.9,0.0,0.0,179.1,Low Performer,Within Range
consoles1,consoles_games,01-10-2017,28,21.54285714,38,4.2,21.54285714,20.66666667,21.54285714,21.250793650000002,0.29206348999999676,1.3743650934185074,603.19999992,Low Performer,Within Range
consoles1,consoles_games,01-11-2017,28,24.5,49,4.2,24.5,24.5,24.5,24.5,0.0,0.0,686.0,Low Performer,Within Range
consoles1,consoles_games,01-12-2017,16,24.5,30,4.2,24.5,24.5,24.5,24.5,0.0,0.0,392.0,Low Performer,Within Range
consoles1,consoles_games,01-02-2018,5,32.5,6,4.2,32.5,32.5,32.5,32.5,0.0,0.0,162.5,Low Performer,Within Range
consoles1,consoles_games,01-03-2018,6,32.5,13,4.2,32.5,32.74285714,32.5,32.58095238,-0.08095237999999938,-0.24846535808969306,195.0,Low Performer,Within Range
consoles1,consoles_games,01-04-2018,7,35.05714286,13,4.2,35.05714286,34.2,35.05714286,34.77142857333333,0.28571428666666776,0.8216926896290533,245.40000002,Low Performer,Within Range
consoles1,consoles_games,01-05-2018,3,36.2,3,4.2,36.2,36.2,36.2,36.2,0.0,0.0,108.60000000000001,Low Performer,Within Range
consoles1,consoles_games,01-06-2018,2,36.2,2,4.2,36.2,36.2,36.2,36.2,0.0,0.0,72.4,Low Performer,Within Range
consoles1,consoles_games,01-07-2018,1,36.2,1,4.2,36.2,36.2,36.2,36.2,0.0,0.0,36.2,Low Performer,Within Range
garden7,garden_tools,01-04-2017,1,59.9,17,4.2,59.9,59.9,59.9,59.9,0.0,0.0,59.9,Low Performer,Within Range
garden7,garden_tools,01-05-2017,1,59.9,34,4.2,59.9,59.9,59.9,59.9,0.0,0.0,59.9,Low Performer,Within Range
garden7,garden_tools,01-07-2017,4,59.9,74,4.2,59.9,59.9,59.9,59.9,0.0,0.0,239.6,Low Performer,Within Range
garden7,garden_tools,01-08-2017,6,59.9,113,4.2,59.9,59.9,59.9,59.9,0.0,0.0,359.4,Low Performer,Within Range
garden7,garden_tools,01-09-2017,5,59.9,115,4.2,59.9,59.9,59.9,59.9,0.0,0.0,299.5,Low Performer,Within Range
garden7,garden_tools,01-10-2017,11,59.9,146,4.2,59.9,59.9,59.9,59.9,0.0,0.0,658.9,Low Performer,Within Range
garden7,garden_tools,01-11-2017,20,51.32222222,339,4.2,52.40694444,53.64828125,53.78571429,53.28031332666666,-1.9580911066666573,-3.67507430870651,1026.4444444,Low Performer,Within Range
garden7,garden_tools,01-12-2017,10,56.97777778,184,4.2,55.1,55.425,55.75,55.425000000000004,1.5527777799999924,2.8015837257555116,569.7777778,Low Performer,Within Range
garden7,garden_tools,01-01-2018,11,49.9,137,4.2,49.9,49.9,49.9,49.9,0.0,0.0,548.9,Low Performer,Within Range
garden7,garden_tools,01-02-2018,8,51.4,160,4.2,50.54516129,50.9,50.35714286,50.60076805,0.7992319499999994,1.5794858078246095,411.2,Low Performer,Within Range
garden7,garden_tools,01-03-2018,3,53.9,116,4.2,53.9,53.9,53.9,53.9,0.0,0.0,161.7,Low Performer,Within Range
garden7,garden_tools,01-04-2018,8,53.9,111,4.2,53.9,53.9,53.9,53.9,0.0,0.0,431.2,Low Performer,Within Range
garden7,garden_tools,01-05-2018,9,52.9,102,4.2,53.41515152,53.70952381,53.05789474,53.39419002333333,-0.4941900233333314,-0.9255501827396758,476.09999999999997,Low Performer,Within Range
garden7,garden_tools,01-06-2018,5,49.9,58,4.2,49.9,49.9,49.9,49.9,0.0,0.0,249.5,Low Performer,Within Range
garden7,garden_tools,01-07-2018,6,49.9,54,4.2,49.91,49.9,49.9,49.903333333333336,-0.003333333333337407,-0.00667958052235136,299.4,Low Performer,Within Range
garden7,garden_tools,01-08-2018,7,49.9,46,4.2,49.91,49.9,49.9,49.903333333333336,-0.003333333333337407,-0.00667958052235136,349.3,Low Performer,Within Range
health9,health_beauty,01-02-2017,11,19.99,19,4.3,19.99,19.99,64.99,34.99,-15.000000000000004,-42.86939125464419,219.89,Revenue Opportunity,Potentially Low
health9,health_beauty,01-03-2017,9,19.99,25,4.3,19.99,89.99,64.99,58.32333333333332,-38.33333333333333,-65.72555295193462,179.91,Revenue Opportunity,Potentially Low
health9,health_beauty,01-04-2017,13,19.99,23,4.3,19.99,19.99,64.99,34.99,-15.000000000000004,-42.86939125464419,259.87,Revenue Opportunity,Potentially Low
health9,health_beauty,01-05-2017,16,19.99,41,4.3,19.99,89.99,64.99,58.32333333333332,-38.33333333333333,-65.72555295193462,319.84,Revenue Opportunity,Potentially Low
health9,health_beauty,01-06-2017,21,19.99,53,4.3,19.99,89.99,58.79952381,56.25984127,-36.26984127,-64.46843867890635,419.78999999999996,Revenue Opportunity,Potentially Low
health9,health_beauty,01-07-2017,29,19.99,61,4.3,19.99,89.99,59.25666667,56.41222222333332,-36.42222222333332,-64.56441669526768,579.7099999999999,Revenue Opportunity,Potentially Low
health9,health_beauty,01-08-2017,28,23.39740741,82,4.3,23.39740741,89.99,58.99,57.45913580333333,-34.06172839333333,-59.27991766168773,655.12740748,Revenue Opportunity,Potentially Low
health9,health_beauty,01-09-2017,24,23.99,89,4.3,23.99,89.99,58.99,57.656666666666666,-33.66666666666667,-58.391628606116676,575.76,Revenue Opportunity,Potentially Low
health9,health_beauty,01-10-2017,27,23.99,81,4.3,23.99,89.99,58.99,57.656666666666666,-33.66666666666667,-58.391628606116676,647.7299999999999,Revenue Opportunity,Potentially Low
health9,health_beauty,01-11-2017,28,23.99,139,4.3,23.99,89.99,58.99,57.656666666666666,-33.66666666666667,-58.391628606116676,671.7199999999999,Revenue Opportunity,Potentially Low
health9,health_beauty,01-12-2017,19,23.99,112,4.3,23.99,89.99,58.99,57.656666666666666,-33.66666666666667,-58.391628606116676,455.80999999999995,Revenue Opportunity,Potentially Low
health9,health_beauty,01-01-2018,19,23.99,98,4.3,23.99,89.99,58.99,57.656666666666666,-33.66666666666667,-58.391628606116676,455.80999999999995,Revenue Opportunity,Potentially Low
health9,health_beauty,01-02-2018,14,23.99,126,4.3,23.99,89.99,58.99,57.656666666666666,-33.66666666666667,-58.391628606116676,335.85999999999996,Revenue Opportunity,Potentially Low
health9,health_beauty,01-03-2018,8,23.99,169,4.3,23.99,83.74,58.99,55.57333333333333,-31.583333333333332,-56.83181381957774,191.92,Revenue Opportunity,Potentially Low
health9,health_beauty,01-05-2018,7,23.99,159,4.3,23.99,79.99,58.99,54.32333333333333,-30.333333333333332,-55.83849788304596,167.92999999999998,Revenue Opportunity,Potentially Low
health9,health_beauty,01-06-2018,3,23.99,131,4.3,23.99,79.99,58.99,54.32333333333333,-30.333333333333332,-55.83849788304596,71.97,Revenue Opportunity,Potentially Low
health9,health_beauty,01-07-2018,3,23.99,113,4.3,23.99,79.99,58.99,54.32333333333333,-30.333333333333332,-55.83849788304596,71.97,Revenue Opportunity,Potentially Low
health9,health_beauty,01-08-2018,2,23.99,127,4.3,23.99,82.82142857,58.99,55.26714285666666,-31.27714285666666,-56.59265386268076,47.98,Revenue Opportunity,Potentially Low
cool4,cool_stuff,01-07-2017,1,134.99,42,3.8,99.99,129.99,134.99,121.65666666666668,13.333333333333329,10.9598049154725,134.99,High-Value / Lower Volume,Within Range
cool4,cool_stuff,01-08-2017,1,134.99,39,3.8,99.99,116.9275,134.99,117.30250000000001,17.6875,15.078536263080498,134.99,High-Value / Lower Volume,Potentially High
cool4,cool_stuff,01-10-2017,12,146.99,33,3.8,99.99,119.99,146.99,122.32333333333334,24.66666666666667,20.165136114668776,1763.88,High-Value / Lower Volume,Potentially High
